Header Length,5
Powered by Labfront
Documentation,https://help.labfront.com/data-documentation
projectId,projectTitle,participantId,participantInsignia,batchId,methodId,firstSampleUnixTimestampInMs,lastSampleUnixTimestampInMs
2f38ca27-bac7-476c-b735-95faf7ba3c1d,QA Template: Garmin Full Test,6732ab82-077a-4bfd-8f89-246aba683253,sample_participant_01,9a01a9a6-b720-475b-a0c9-b7312b0ed952,d2c5013a-26e5-461e-b3d0-1f6b216a7f37,1672675200000,1675443060000

timezoneOffsetInMs,unixTimestampInMs,isoDate,stressLevel,bodyBattery
28800000,1672702560000,2023-01-03T07:36:00.000+08:00,-1,
28800000,1672702740000,2023-01-03T07:39:00.000+08:00,-1,
28800000,1672702920000,2023-01-03T07:42:00.000+08:00,-1,
28800000,1672703100000,2023-01-03T07:45:00.000+08:00,-1,
28800000,1672703280000,2023-01-03T07:48:00.000+08:00,-1,
28800000,1672703460000,2023-01-03T07:51:00.000+08:00,-1,
28800000,1672703640000,2023-01-03T07:54:00.000+08:00,-1,
28800000,1672703820000,2023-01-03T07:57:00.000+08:00,-1,
28800000,1672704000000,2023-01-03T08:00:00.000+08:00,-1,
28800000,1672704180000,2023-01-03T08:03:00.000+08:00,-1,
28800000,1672704360000,2023-01-03T08:06:00.000+08:00,-1,
28800000,1672704540000,2023-01-03T08:09:00.000+08:00,-1,
28800000,1672704720000,2023-01-03T08:12:00.000+08:00,-1,
28800000,1672704900000,2023-01-03T08:15:00.000+08:00,-1,
28800000,1672705080000,2023-01-03T08:18:00.000+08:00,-1,
28800000,1672705260000,2023-01-03T08:21:00.000+08:00,-1,
28800000,1672705440000,2023-01-03T08:24:00.000+08:00,-1,
28800000,1672705620000,2023-01-03T08:27:00.000+08:00,-1,
28800000,1672705800000,2023-01-03T08:30:00.000+08:00,-1,
28800000,1672705980000,2023-01-03T08:33:00.000+08:00,-1,
28800000,1672706160000,2023-01-03T08:36:00.000+08:00,-1,
28800000,1672706340000,2023-01-03T08:39:00.000+08:00,-1,
28800000,1672706520000,2023-01-03T08:42:00.000+08:00,-1,
28800000,1672706700000,2023-01-03T08:45:00.000+08:00,-1,
28800000,1672706880000,2023-01-03T08:48:00.000+08:00,-1,
28800000,1672707060000,2023-01-03T08:51:00.000+08:00,-1,
28800000,1672707240000,2023-01-03T08:54:00.000+08:00,-1,
28800000,1672707420000,2023-01-03T08:57:00.000+08:00,-1,
28800000,1672707600000,2023-01-03T09:00:00.000+08:00,-1,
28800000,1672707780000,2023-01-03T09:03:00.000+08:00,-1,
28800000,1672707960000,2023-01-03T09:06:00.000+08:00,-1,
28800000,1672708140000,2023-01-03T09:09:00.000+08:00,-1,
28800000,1672708320000,2023-01-03T09:12:00.000+08:00,-1,
28800000,1672708500000,2023-01-03T09:15:00.000+08:00,-1,
28800000,1672708680000,2023-01-03T09:18:00.000+08:00,-1,
28800000,1672708860000,2023-01-03T09:21:00.000+08:00,-1,
28800000,1672709040000,2023-01-03T09:24:00.000+08:00,-1,
28800000,1672709220000,2023-01-03T09:27:00.000+08:00,-1,
28800000,1672709400000,2023-01-03T09:30:00.000+08:00,-1,
28800000,1672709580000,2023-01-03T09:33:00.000+08:00,-1,
28800000,1672709760000,2023-01-03T09:36:00.000+08:00,-1,
28800000,1672709940000,2023-01-03T09:39:00.000+08:00,-1,
28800000,1672710120000,2023-01-03T09:42:00.000+08:00,-1,
28800000,1672710300000,2023-01-03T09:45:00.000+08:00,-1,
28800000,1672710480000,2023-01-03T09:48:00.000+08:00,-1,
28800000,1672710660000,2023-01-03T09:51:00.000+08:00,-1,
28800000,1672710840000,2023-01-03T09:54:00.000+08:00,-1,
28800000,1672711020000,2023-01-03T09:57:00.000+08:00,-1,
28800000,1672711200000,2023-01-03T10:00:00.000+08:00,-1,
28800000,1672711380000,2023-01-03T10:03:00.000+08:00,-1,
28800000,1672711560000,2023-01-03T10:06:00.000+08:00,-1,
28800000,1672711740000,2023-01-03T10:09:00.000+08:00,-1,
28800000,1672711920000,2023-01-03T10:12:00.000+08:00,-1,
28800000,1672712100000,2023-01-03T10:15:00.000+08:00,-1,
28800000,1672712280000,2023-01-03T10:18:00.000+08:00,-1,
28800000,1672712460000,2023-01-03T10:21:00.000+08:00,-1,
28800000,1672712640000,2023-01-03T10:24:00.000+08:00,-1,
28800000,1672712820000,2023-01-03T10:27:00.000+08:00,-1,
28800000,1672713000000,2023-01-03T10:30:00.000+08:00,-1,
28800000,1672713180000,2023-01-03T10:33:00.000+08:00,-1,
28800000,1672713360000,2023-01-03T10:36:00.000+08:00,-1,
28800000,1672713540000,2023-01-03T10:39:00.000+08:00,-1,
28800000,1672713720000,2023-01-03T10:42:00.000+08:00,-1,
28800000,1672713900000,2023-01-03T10:45:00.000+08:00,-1,
28800000,1672714080000,2023-01-03T10:48:00.000+08:00,-1,
28800000,1672714260000,2023-01-03T10:51:00.000+08:00,-1,
28800000,1672714440000,2023-01-03T10:54:00.000+08:00,-1,
28800000,1672714620000,2023-01-03T10:57:00.000+08:00,-1,
28800000,1672714800000,2023-01-03T11:00:00.000+08:00,-1,
28800000,1672714980000,2023-01-03T11:03:00.000+08:00,-1,
28800000,1672715160000,2023-01-03T11:06:00.000+08:00,-1,
28800000,1672715340000,2023-01-03T11:09:00.000+08:00,-1,
28800000,1672715520000,2023-01-03T11:12:00.000+08:00,-1,
28800000,1672715700000,2023-01-03T11:15:00.000+08:00,-1,
