Header Length,5
Powered by Labfront
Documentation,https://help.labfront.com/data-documentation
projectId,projectTitle,participantId,participantInsignia,batchId,methodId,taskId,taskScheduleRepeat,taskScheduleDescription,garminDeviceId,firstSampleUnixTimestampInMs,lastSampleUnixTimestampInMs
2f38ca27-bac7-476c-b735-95faf7ba3c1d,QA Template: Garmin Full Test,6732ab82-077a-4bfd-8f89-246aba683253,sample_participant_01,9a01a9a6-b720-475b-a0c9-b7312b0ed952,d2c5013a-26e5-461e-b3d0-1f6b216a7f37,1725e82d-8800-4fd7-a12f-a712238e949e,false,,dba71865-d874-421e-a324-1ecc7df9b5a0,1675166604000,1675402023944

timezone,unixTimestampInMs,isoDate,deviceType,bbi
Asia/Taipei,1675166726704,2023-01-31T20:05:26.704+08:00,garmin_VenuSq2,823
Asia/Taipei,1675166727527,2023-01-31T20:05:27.527+08:00,garmin_VenuSq2,808
Asia/Taipei,1675166728335,2023-01-31T20:05:28.335+08:00,garmin_VenuSq2,785
Asia/Taipei,1675166729120,2023-01-31T20:05:29.120+08:00,garmin_VenuSq2,804
Asia/Taipei,1675166729924,2023-01-31T20:05:29.924+08:00,garmin_VenuSq2,834
Asia/Taipei,1675166730781,2023-01-31T20:05:30.781+08:00,garmin_VenuSq2,842
Asia/Taipei,1675166731623,2023-01-31T20:05:31.623+08:00,garmin_VenuSq2,844
Asia/Taipei,1675166732467,2023-01-31T20:05:32.467+08:00,garmin_VenuSq2,856
Asia/Taipei,1675166733323,2023-01-31T20:05:33.323+08:00,garmin_VenuSq2,876
Asia/Taipei,1675166734199,2023-01-31T20:05:34.199+08:00,garmin_VenuSq2,880
Asia/Taipei,1675166734991,2023-01-31T20:05:34.991+08:00,garmin_VenuSq2,850
Asia/Taipei,1675166735841,2023-01-31T20:05:35.841+08:00,garmin_VenuSq2,862
Asia/Taipei,1675166736703,2023-01-31T20:05:36.703+08:00,garmin_VenuSq2,970
Asia/Taipei,1675166737673,2023-01-31T20:05:37.673+08:00,garmin_VenuSq2,982
Asia/Taipei,1675166739702,2023-01-31T20:05:39.702+08:00,garmin_VenuSq2,921
Asia/Taipei,1675166740623,2023-01-31T20:05:40.623+08:00,garmin_VenuSq2,865
Asia/Taipei,1675166741488,2023-01-31T20:05:41.488+08:00,garmin_VenuSq2,846
Asia/Taipei,1675166742334,2023-01-31T20:05:42.334+08:00,garmin_VenuSq2,840
Asia/Taipei,1675166743174,2023-01-31T20:05:43.174+08:00,garmin_VenuSq2,816
Asia/Taipei,1675166743862,2023-01-31T20:05:43.862+08:00,garmin_VenuSq2,791
Asia/Taipei,1675166744653,2023-01-31T20:05:44.653+08:00,garmin_VenuSq2,778
Asia/Taipei,1675166745431,2023-01-31T20:05:45.431+08:00,garmin_VenuSq2,866
Asia/Taipei,1675166746297,2023-01-31T20:05:46.297+08:00,garmin_VenuSq2,917
Asia/Taipei,1675166747214,2023-01-31T20:05:47.214+08:00,garmin_VenuSq2,988
Asia/Taipei,1675166747354,2023-01-31T20:05:47.354+08:00,garmin_VenuSq2,940
Asia/Taipei,1675166748294,2023-01-31T20:05:48.294+08:00,garmin_VenuSq2,903
Asia/Taipei,1675166749197,2023-01-31T20:05:49.197+08:00,garmin_VenuSq2,883
Asia/Taipei,1675166750080,2023-01-31T20:05:50.080+08:00,garmin_VenuSq2,790
Asia/Taipei,1675166750870,2023-01-31T20:05:50.870+08:00,garmin_VenuSq2,809
Asia/Taipei,1675166752595,2023-01-31T20:05:52.595+08:00,garmin_VenuSq2,852
Asia/Taipei,1675166753447,2023-01-31T20:05:53.447+08:00,garmin_VenuSq2,833
Asia/Taipei,1675166754280,2023-01-31T20:05:54.280+08:00,garmin_VenuSq2,817
Asia/Taipei,1675166755097,2023-01-31T20:05:55.097+08:00,garmin_VenuSq2,786
Asia/Taipei,1675166755883,2023-01-31T20:05:55.883+08:00,garmin_VenuSq2,777
Asia/Taipei,1675166756613,2023-01-31T20:05:56.613+08:00,garmin_VenuSq2,802
Asia/Taipei,1675166757415,2023-01-31T20:05:57.415+08:00,garmin_VenuSq2,823
Asia/Taipei,1675166758238,2023-01-31T20:05:58.238+08:00,garmin_VenuSq2,814
Asia/Taipei,1675166759052,2023-01-31T20:05:59.052+08:00,garmin_VenuSq2,823
Asia/Taipei,1675166759875,2023-01-31T20:05:59.875+08:00,garmin_VenuSq2,826
Asia/Taipei,1675166760723,2023-01-31T20:06:00.723+08:00,garmin_VenuSq2,821
Asia/Taipei,1675166761544,2023-01-31T20:06:01.544+08:00,garmin_VenuSq2,800
Asia/Taipei,1675166762344,2023-01-31T20:06:02.344+08:00,garmin_VenuSq2,826
Asia/Taipei,1675166763170,2023-01-31T20:06:03.170+08:00,garmin_VenuSq2,847
Asia/Taipei,1675166764017,2023-01-31T20:06:04.017+08:00,garmin_VenuSq2,866
Asia/Taipei,1675166764945,2023-01-31T20:06:04.945+08:00,garmin_VenuSq2,881
Asia/Taipei,1675166765826,2023-01-31T20:06:05.826+08:00,garmin_VenuSq2,899
Asia/Taipei,1675166766725,2023-01-31T20:06:06.725+08:00,garmin_VenuSq2,878
Asia/Taipei,1675166767603,2023-01-31T20:06:07.603+08:00,garmin_VenuSq2,903
Asia/Taipei,1675166768506,2023-01-31T20:06:08.506+08:00,garmin_VenuSq2,917
Asia/Taipei,1675166769245,2023-01-31T20:06:09.245+08:00,garmin_VenuSq2,837
Asia/Taipei,1675166770082,2023-01-31T20:06:10.082+08:00,garmin_VenuSq2,867
Asia/Taipei,1675166770949,2023-01-31T20:06:10.949+08:00,garmin_VenuSq2,870
Asia/Taipei,1675166771819,2023-01-31T20:06:11.819+08:00,garmin_VenuSq2,903
Asia/Taipei,1675166773863,2023-01-31T20:06:13.863+08:00,garmin_VenuSq2,989
Asia/Taipei,1675166774852,2023-01-31T20:06:14.852+08:00,garmin_VenuSq2,1095
Asia/Taipei,1675166775947,2023-01-31T20:06:15.947+08:00,garmin_VenuSq2,859
Asia/Taipei,1675166776806,2023-01-31T20:06:16.806+08:00,garmin_VenuSq2,853
Asia/Taipei,1675166778855,2023-01-31T20:06:18.855+08:00,garmin_VenuSq2,949
Asia/Taipei,1675166779804,2023-01-31T20:06:19.804+08:00,garmin_VenuSq2,909
Asia/Taipei,1675166780713,2023-01-31T20:06:20.713+08:00,garmin_VenuSq2,841
Asia/Taipei,1675166781554,2023-01-31T20:06:21.554+08:00,garmin_VenuSq2,826
Asia/Taipei,1675166782380,2023-01-31T20:06:22.380+08:00,garmin_VenuSq2,834
Asia/Taipei,1675166782976,2023-01-31T20:06:22.976+08:00,garmin_VenuSq2,955
Asia/Taipei,1675166783931,2023-01-31T20:06:23.931+08:00,garmin_VenuSq2,1013
Asia/Taipei,1675166784944,2023-01-31T20:06:24.944+08:00,garmin_VenuSq2,854
Asia/Taipei,1675166785798,2023-01-31T20:06:25.798+08:00,garmin_VenuSq2,850
Asia/Taipei,1675166787651,2023-01-31T20:06:27.651+08:00,garmin_VenuSq2,855
Asia/Taipei,1675166789813,2023-01-31T20:06:29.813+08:00,garmin_VenuSq2,889
Asia/Taipei,1675166790702,2023-01-31T20:06:30.702+08:00,garmin_VenuSq2,837
Asia/Taipei,1675166791539,2023-01-31T20:06:31.539+08:00,garmin_VenuSq2,834
Asia/Taipei,1675166792373,2023-01-31T20:06:32.373+08:00,garmin_VenuSq2,849
Asia/Taipei,1675166793222,2023-01-31T20:06:33.222+08:00,garmin_VenuSq2,962
Asia/Taipei,1675166793302,2023-01-31T20:06:33.302+08:00,garmin_VenuSq2,1004
Asia/Taipei,1675166794306,2023-01-31T20:06:34.306+08:00,garmin_VenuSq2,878
Asia/Taipei,1675166795184,2023-01-31T20:06:35.184+08:00,garmin_VenuSq2,860
Asia/Taipei,1675166796044,2023-01-31T20:06:36.044+08:00,garmin_VenuSq2,857
Asia/Taipei,1675166796901,2023-01-31T20:06:36.901+08:00,garmin_VenuSq2,862
Asia/Taipei,1675166798621,2023-01-31T20:06:38.621+08:00,garmin_VenuSq2,858
Asia/Taipei,1675166799479,2023-01-31T20:06:39.479+08:00,garmin_VenuSq2,874
Asia/Taipei,1675166800353,2023-01-31T20:06:40.353+08:00,garmin_VenuSq2,924
Asia/Taipei,1675166801277,2023-01-31T20:06:41.277+08:00,garmin_VenuSq2,892
Asia/Taipei,1675166802169,2023-01-31T20:06:42.169+08:00,garmin_VenuSq2,902
Asia/Taipei,1675166802262,2023-01-31T20:06:42.262+08:00,garmin_VenuSq2,1048
Asia/Taipei,1675166803310,2023-01-31T20:06:43.310+08:00,garmin_VenuSq2,899
Asia/Taipei,1675166804209,2023-01-31T20:06:44.209+08:00,garmin_VenuSq2,873
Asia/Taipei,1675166805082,2023-01-31T20:06:45.082+08:00,garmin_VenuSq2,872
Asia/Taipei,1675166805954,2023-01-31T20:06:45.954+08:00,garmin_VenuSq2,814
Asia/Taipei,1675166806467,2023-01-31T20:06:46.467+08:00,garmin_VenuSq2,744
Asia/Taipei,1675166807211,2023-01-31T20:06:47.211+08:00,garmin_VenuSq2,829
Asia/Taipei,1675166808040,2023-01-31T20:06:48.040+08:00,garmin_VenuSq2,919
Asia/Taipei,1675166808959,2023-01-31T20:06:48.959+08:00,garmin_VenuSq2,943
Asia/Taipei,1675166809902,2023-01-31T20:06:49.902+08:00,garmin_VenuSq2,928
Asia/Taipei,1675166812314,2023-01-31T20:06:52.314+08:00,garmin_VenuSq2,896
Asia/Taipei,1675166813210,2023-01-31T20:06:53.210+08:00,garmin_VenuSq2,893
Asia/Taipei,1675166814103,2023-01-31T20:06:54.103+08:00,garmin_VenuSq2,894
Asia/Taipei,1675166814997,2023-01-31T20:06:54.997+08:00,garmin_VenuSq2,876
Asia/Taipei,1675166815873,2023-01-31T20:06:55.873+08:00,garmin_VenuSq2,873
Asia/Taipei,1675166817724,2023-01-31T20:06:57.724+08:00,garmin_VenuSq2,872
Asia/Taipei,1675166818596,2023-01-31T20:06:58.596+08:00,garmin_VenuSq2,852
Asia/Taipei,1675166819448,2023-01-31T20:06:59.448+08:00,garmin_VenuSq2,821
Asia/Taipei,1675166820269,2023-01-31T20:07:00.269+08:00,garmin_VenuSq2,852
Asia/Taipei,1675166821121,2023-01-31T20:07:01.121+08:00,garmin_VenuSq2,854
Asia/Taipei,1675166821943,2023-01-31T20:07:01.943+08:00,garmin_VenuSq2,838
Asia/Taipei,1675166822781,2023-01-31T20:07:02.781+08:00,garmin_VenuSq2,731
Asia/Taipei,1675166823512,2023-01-31T20:07:03.512+08:00,garmin_VenuSq2,793
Asia/Taipei,1675166824305,2023-01-31T20:07:04.305+08:00,garmin_VenuSq2,920
Asia/Taipei,1675166825225,2023-01-31T20:07:05.225+08:00,garmin_VenuSq2,947
Asia/Taipei,1675166825362,2023-01-31T20:07:05.362+08:00,garmin_VenuSq2,1025
Asia/Taipei,1675166827509,2023-01-31T20:07:07.509+08:00,garmin_VenuSq2,960
Asia/Taipei,1675166828469,2023-01-31T20:07:08.469+08:00,garmin_VenuSq2,951
Asia/Taipei,1675166829420,2023-01-31T20:07:09.420+08:00,garmin_VenuSq2,980
Asia/Taipei,1675166830400,2023-01-31T20:07:10.400+08:00,garmin_VenuSq2,999
Asia/Taipei,1675166831399,2023-01-31T20:07:11.399+08:00,garmin_VenuSq2,958
Asia/Taipei,1675166832358,2023-01-31T20:07:12.358+08:00,garmin_VenuSq2,958
Asia/Taipei,1675166833316,2023-01-31T20:07:13.316+08:00,garmin_VenuSq2,928
Asia/Taipei,1675166834244,2023-01-31T20:07:14.244+08:00,garmin_VenuSq2,914
Asia/Taipei,1675166835158,2023-01-31T20:07:15.158+08:00,garmin_VenuSq2,900
Asia/Taipei,1675166837436,2023-01-31T20:07:17.436+08:00,garmin_VenuSq2,868
Asia/Taipei,1675166838304,2023-01-31T20:07:18.304+08:00,garmin_VenuSq2,869
Asia/Taipei,1675166839173,2023-01-31T20:07:19.173+08:00,garmin_VenuSq2,867
Asia/Taipei,1675166840040,2023-01-31T20:07:20.040+08:00,garmin_VenuSq2,917
Asia/Taipei,1675166840957,2023-01-31T20:07:20.957+08:00,garmin_VenuSq2,916
Asia/Taipei,1675166842871,2023-01-31T20:07:22.871+08:00,garmin_VenuSq2,863
Asia/Taipei,1675166843734,2023-01-31T20:07:23.734+08:00,garmin_VenuSq2,820
Asia/Taipei,1675166844554,2023-01-31T20:07:24.554+08:00,garmin_VenuSq2,787
Asia/Taipei,1675166845341,2023-01-31T20:07:25.341+08:00,garmin_VenuSq2,807
Asia/Taipei,1675166846148,2023-01-31T20:07:26.148+08:00,garmin_VenuSq2,842
Asia/Taipei,1675166846873,2023-01-31T20:07:26.873+08:00,garmin_VenuSq2,965
Asia/Taipei,1675166847838,2023-01-31T20:07:27.838+08:00,garmin_VenuSq2,945
Asia/Taipei,1675166850733,2023-01-31T20:07:30.733+08:00,garmin_VenuSq2,945
Asia/Taipei,1675166851678,2023-01-31T20:07:31.678+08:00,garmin_VenuSq2,968
Asia/Taipei,1675166852646,2023-01-31T20:07:32.646+08:00,garmin_VenuSq2,955
Asia/Taipei,1675166853601,2023-01-31T20:07:33.601+08:00,garmin_VenuSq2,946
Asia/Taipei,1675166854547,2023-01-31T20:07:34.547+08:00,garmin_VenuSq2,984
Asia/Taipei,1675166855613,2023-01-31T20:07:35.613+08:00,garmin_VenuSq2,1025
Asia/Taipei,1675166856638,2023-01-31T20:07:36.638+08:00,garmin_VenuSq2,922
Asia/Taipei,1675166857560,2023-01-31T20:07:37.560+08:00,garmin_VenuSq2,901
Asia/Taipei,1675166858461,2023-01-31T20:07:38.461+08:00,garmin_VenuSq2,917
Asia/Taipei,1675166859378,2023-01-31T20:07:39.378+08:00,garmin_VenuSq2,910
Asia/Taipei,1675166860098,2023-01-31T20:07:40.098+08:00,garmin_VenuSq2,954
Asia/Taipei,1675166861052,2023-01-31T20:07:41.052+08:00,garmin_VenuSq2,979
Asia/Taipei,1675166862031,2023-01-31T20:07:42.031+08:00,garmin_VenuSq2,884
Asia/Taipei,1675166862915,2023-01-31T20:07:42.915+08:00,garmin_VenuSq2,864
Asia/Taipei,1675166864700,2023-01-31T20:07:44.700+08:00,garmin_VenuSq2,834
Asia/Taipei,1675166865534,2023-01-31T20:07:45.534+08:00,garmin_VenuSq2,850
Asia/Taipei,1675166866384,2023-01-31T20:07:46.384+08:00,garmin_VenuSq2,888
Asia/Taipei,1675166867272,2023-01-31T20:07:47.272+08:00,garmin_VenuSq2,903
Asia/Taipei,1675166868175,2023-01-31T20:07:48.175+08:00,garmin_VenuSq2,916
Asia/Taipei,1675166869085,2023-01-31T20:07:49.085+08:00,garmin_VenuSq2,931
Asia/Taipei,1675166870016,2023-01-31T20:07:50.016+08:00,garmin_VenuSq2,891
Asia/Taipei,1675166870907,2023-01-31T20:07:50.907+08:00,garmin_VenuSq2,879
Asia/Taipei,1675166871786,2023-01-31T20:07:51.786+08:00,garmin_VenuSq2,870
Asia/Taipei,1675166873621,2023-01-31T20:07:53.621+08:00,garmin_VenuSq2,875
Asia/Taipei,1675166874496,2023-01-31T20:07:54.496+08:00,garmin_VenuSq2,852
Asia/Taipei,1675166875348,2023-01-31T20:07:55.348+08:00,garmin_VenuSq2,845
Asia/Taipei,1675166876193,2023-01-31T20:07:56.193+08:00,garmin_VenuSq2,896
Asia/Taipei,1675166877089,2023-01-31T20:07:57.089+08:00,garmin_VenuSq2,894
