Header Length,5
Powered by Labfront
Documentation,https://help.labfront.com/data-documentation
projectId,projectTitle,participantId,participantInsignia,batchId,methodId,taskId,taskScheduleRepeat,taskScheduleDescription,garminDeviceId,firstSampleUnixTimestampInMs,lastSampleUnixTimestampInMs
2f38ca27-bac7-476c-b735-95faf7ba3c1d,QA Template: Garmin Full Test,6732ab82-077a-4bfd-8f89-246aba683253,sample_participant_01,9a01a9a6-b720-475b-a0c9-b7312b0ed952,d2c5013a-26e5-461e-b3d0-1f6b216a7f37,1725e82d-8800-4fd7-a12f-a712238e949e,false,,dba71865-d874-421e-a324-1ecc7df9b5a0,1675166467000,1675645200000

timezone,unixTimestampInMs,isoDate,deviceType,durationInMs,steps,totalSteps
Asia/Taipei,1675178340000,2023-01-31T23:19:00.000+08:00,,60,0,2247
Asia/Taipei,1675178400000,2023-01-31T23:20:00.000+08:00,,60,0,2247
Asia/Taipei,1675178460000,2023-01-31T23:21:00.000+08:00,,60,0,2247
Asia/Taipei,1675178520000,2023-01-31T23:22:00.000+08:00,,60,0,2247
Asia/Taipei,1675178580000,2023-01-31T23:23:00.000+08:00,,60,0,2247
Asia/Taipei,1675178640000,2023-01-31T23:24:00.000+08:00,,60,0,2247
Asia/Taipei,1675178700000,2023-01-31T23:25:00.000+08:00,,60,10,2257
Asia/Taipei,1675178760000,2023-01-31T23:26:00.000+08:00,,60,13,2270
Asia/Taipei,1675178820000,2023-01-31T23:27:00.000+08:00,,60,0,2270
Asia/Taipei,1675178880000,2023-01-31T23:28:00.000+08:00,,60,0,2270
Asia/Taipei,1675178940000,2023-01-31T23:29:00.000+08:00,,60,0,2270
Asia/Taipei,1675179000000,2023-01-31T23:30:00.000+08:00,,60,0,2270
Asia/Taipei,1675179060000,2023-01-31T23:31:00.000+08:00,,60,0,2270
Asia/Taipei,1675179120000,2023-01-31T23:32:00.000+08:00,,60,0,2270
Asia/Taipei,1675179180000,2023-01-31T23:33:00.000+08:00,,60,0,2270
Asia/Taipei,1675179240000,2023-01-31T23:34:00.000+08:00,,60,0,2270
Asia/Taipei,1675179300000,2023-01-31T23:35:00.000+08:00,,60,0,2270
